iter	Passed	Remaining
0	75	7430
1	76	3734
2	77	2489
3	78	1883
4	80	1520
5	81	1279
6	83	1107
7	84	976
8	86	878
9	88	796
10	90	730
11	92	677
12	93	626
13	94	579
14	95	541
15	97	511
16	98	480
17	99	453
18	100	427
19	101	405
20	102	385
21	103	367
22	104	351
23	106	335
24	106	320
25	107	306
26	108	293
27	109	281
28	110	270
29	111	259
30	112	249
31	112	239
32	113	230
33	114	221
34	115	213
35	115	205
36	116	198
37	117	191
38	117	184
39	118	177
40	119	171
41	119	165
42	120	159
43	120	153
44	121	148
45	121	143
46	122	138
47	122	133
48	123	128
49	124	124
50	124	119
51	125	115
52	125	111
53	126	107
54	126	103
55	127	99
56	127	96
57	128	92
58	128	89
59	129	86
60	129	82
61	130	79
62	130	76
63	131	73
64	131	70
65	132	68
66	132	65
67	133	62
68	133	60
69	134	57
70	134	55
71	135	52
72	136	50
73	136	48
74	137	45
75	137	43
76	138	41
77	138	39
78	139	37
79	139	34
80	140	32
81	140	30
82	141	28
83	142	27
84	142	25
85	143	23
86	143	21
87	144	19
88	144	17
89	145	16
90	145	14
91	146	12
92	146	11
93	147	9
94	147	7
95	148	6
96	148	4
97	149	3
98	149	1
99	150	0
