iter	Passed	Remaining
0	81	81653
1	82	41325
2	84	28185
3	88	21969
4	88	17683
5	90	15002
6	92	13123
7	93	11573
8	94	10436
9	96	9543
10	98	8821
11	99	8204
12	101	7685
13	103	7254
14	104	6860
15	105	6507
16	107	6217
17	108	5944
18	109	5675
19	110	5432
20	111	5200
21	112	4989
22	112	4789
23	113	4635
24	114	4481
25	115	4337
26	116	4198
27	117	4066
28	117	3942
29	118	3826
30	118	3717
31	120	3630
32	120	3543
33	121	3455
34	122	3375
35	123	3295
36	123	3218
37	124	3142
38	124	3070
39	125	3012
40	126	2953
41	126	2895
42	127	2836
43	127	2780
44	128	2726
45	128	2673
46	129	2624
47	130	2579
48	130	2534
49	131	2495
50	131	2455
51	132	2414
52	133	2377
53	133	2341
54	134	2305
55	134	2271
56	135	2236
57	135	2203
58	136	2173
59	136	2145
60	137	2120
61	138	2094
62	139	2067
63	139	2041
64	140	2016
65	140	1992
66	141	1967
67	141	1942
68	142	1919
69	142	1897
70	143	1879
71	144	1862
72	145	1842
73	145	1822
74	146	1802
75	146	1782
76	147	1763
77	147	1745
78	148	1727
79	148	1709
80	149	1693
81	150	1680
82	150	1662
83	151	1647
84	151	1632
85	152	1617
86	152	1602
87	153	1587
88	153	1573
89	154	1559
90	154	1545
91	155	1533
92	156	1521
93	156	1510
94	157	1499
95	157	1487
96	158	1476
97	159	1465
98	159	1454
99	160	1443
100	160	1431
101	161	1421
102	162	1412
103	162	1403
104	163	1393
105	164	1383
106	164	1373
107	165	1363
108	165	1353
109	166	1343
110	166	1333
111	167	1324
112	167	1314
113	168	1306
114	168	1299
115	169	1291
116	169	1282
117	170	1275
118	171	1266
119	171	1258
120	172	1249
121	172	1241
122	172	1233
123	173	1225
124	173	1217
125	174	1212
126	175	1205
127	176	1199
128	176	1193
129	177	1186
130	177	1179
131	178	1172
132	178	1165
133	179	1158
134	179	1151
135	180	1145
136	181	1140
137	181	1135
138	182	1130
139	183	1125
140	183	1119
141	184	1112
142	184	1106
143	185	1100
144	185	1094
145	186	1088
146	186	1084
147	187	1080
148	188	1075
149	188	1070
150	189	1068
151	190	1063
152	191	1057
153	191	1052
154	192	1047
155	192	1042
156	193	1038
157	194	1034
158	194	1029
159	195	1025
160	195	1019
161	196	1014
162	196	1009
163	197	1005
164	197	1000
165	198	995
166	198	990
167	199	987
168	200	984
169	200	979
170	201	976
171	201	971
172	202	967
173	202	962
174	203	958
175	203	954
176	204	949
177	204	945
178	205	942
179	206	939
180	206	935
181	207	932
182	208	929
183	208	926
184	209	923
185	210	919
186	210	916
187	211	913
188	212	911
189	213	908
190	213	905
191	214	902
192	214	898
193	215	895
194	215	891
195	216	887
196	216	884
197	217	881
198	218	878
199	218	875
200	219	872
201	219	868
202	220	865
203	221	862
204	221	859
205	222	855
206	222	852
207	222	849
208	223	846
209	224	844
210	225	841
211	225	838
212	226	835
213	226	832
214	227	829
215	227	826
216	228	823
217	228	819
218	229	816
219	229	813
220	230	812
221	231	809
222	231	806
223	232	804
224	232	801
225	233	798
226	233	795
227	234	792
228	234	789
229	235	787
230	235	784
231	236	782
232	237	780
233	237	778
234	238	776
235	238	773
236	239	770
237	239	767
238	240	765
239	240	762
240	241	759
241	241	757
242	242	755
243	243	754
244	244	752
245	244	750
246	245	748
247	246	745
248	246	743
249	246	740
250	247	738
251	247	735
252	248	733
253	249	732
254	249	730
255	250	728
256	252	729
257	252	727
258	253	725
259	253	722
260	254	720
261	255	718
262	255	716
263	256	714
264	256	712
265	257	710
266	257	707
267	258	705
268	258	703
269	259	701
270	259	698
271	260	696
272	260	694
273	261	693
274	262	691
275	262	689
276	263	687
277	263	685
278	264	683
279	264	681
280	265	678
281	265	676
282	266	674
283	266	672
284	267	670
285	268	669
286	268	667
287	269	666
288	269	664
289	270	662
290	270	659
291	271	657
292	271	655
293	272	653
294	272	651
295	273	650
296	274	649
297	275	647
298	275	646
299	276	644
300	276	642
301	277	641
302	277	639
303	278	637
304	278	635
305	279	634
306	280	633
307	281	631
308	281	630
309	282	628
310	282	626
311	283	624
312	283	622
313	284	621
314	284	619
315	285	617
316	286	616
317	286	615
318	287	613
319	287	611
320	288	610
321	288	608
322	289	606
323	289	604
324	290	603
325	290	601
326	291	599
327	291	598
328	292	597
329	293	595
330	293	593
331	294	592
332	294	590
333	295	589
334	295	587
335	296	585
336	296	584
337	297	582
338	297	580
339	298	580
340	299	579
341	300	577
342	301	576
343	301	575
344	302	574
345	303	573
346	303	571
347	304	570
348	305	569
349	306	568
350	306	567
351	307	565
352	307	564
353	308	562
354	308	561
355	309	559
356	310	558
357	311	557
358	311	556
359	312	555
360	313	554
361	313	552
362	314	551
363	314	550
364	315	548
365	316	547
366	316	546
367	317	545
368	318	544
369	318	543
370	319	541
371	320	540
372	320	539
373	321	538
374	322	537
375	323	536
376	323	535
377	324	534
378	325	533
379	326	531
380	326	530
381	327	529
382	327	528
383	328	527
384	329	526
385	330	526
386	331	525
387	332	524
388	333	523
389	333	521
390	334	520
391	335	519
392	336	519
393	336	518
394	337	517
395	338	515
396	338	514
397	339	513
398	340	512
399	341	511
400	342	511
401	343	510
402	343	509
403	344	508
404	345	507
405	345	506
406	346	504
407	347	504
408	349	504
409	350	503
410	350	502
411	351	501
412	352	501
413	353	500
414	354	500
415	355	499
416	356	498
417	357	498
418	358	497
419	359	496
420	360	495
421	361	494
422	362	493
423	362	492
424	363	492
425	364	491
426	365	490
427	366	490
428	367	488
429	368	487
430	368	486
431	369	485
432	370	484
433	371	484
434	372	483
435	373	483
436	374	481
437	374	480
438	375	479
439	375	478
440	376	477
441	377	476
442	377	475
443	378	474
444	379	473
445	379	471
446	380	470
447	381	469
448	381	468
449	382	467
450	383	466
451	383	465
452	384	464
453	385	463
454	385	462
455	386	460
456	386	459
457	387	458
458	388	457
459	388	456
460	389	455
461	390	455
462	391	453
463	392	452
464	393	452
465	393	451
466	394	450
467	395	449
468	396	448
469	397	447
470	397	446
471	398	445
472	399	444
473	399	443
474	400	442
475	401	441
476	402	441
477	402	440
478	403	438
479	404	437
480	404	436
481	405	435
482	406	434
483	406	433
484	407	432
485	408	431
486	408	430
487	409	429
488	410	428
489	411	428
490	411	427
491	412	426
492	413	425
493	414	424
494	415	423
495	416	422
496	416	421
497	417	420
498	418	419
499	418	418
500	419	417
501	420	416
502	421	416
503	422	415
504	422	414
505	423	413
506	424	412
507	425	411
508	425	410
509	426	410
510	427	409
511	428	408
512	428	406
513	429	405
514	429	404
515	430	403
516	430	402
517	431	401
518	432	400
519	433	399
520	433	398
521	434	397
522	434	396
523	435	395
524	435	394
525	436	393
526	437	392
527	437	391
528	438	390
529	439	389
530	440	388
531	440	387
532	441	386
533	441	385
534	442	384
535	443	383
536	443	382
537	444	381
538	446	381
539	446	380
540	447	379
541	448	378
542	448	377
543	449	376
544	450	376
545	451	375
546	452	374
547	452	373
548	453	372
549	453	371
550	454	370
551	455	369
552	455	368
553	456	367
554	458	367
555	458	366
556	459	365
557	460	364
558	460	363
559	461	362
560	462	361
561	462	360
562	463	359
563	463	358
564	464	357
565	465	356
566	466	355
567	468	356
568	469	355
569	469	354
570	470	353
571	471	352
572	471	351
573	472	350
574	473	349
575	474	348
576	475	348
577	475	347
578	476	346
579	477	345
580	477	344
581	478	343
582	479	342
583	479	341
584	480	340
585	481	340
586	482	339
587	483	338
588	484	338
589	485	337
590	485	336
591	487	335
592	487	334
593	488	334
594	489	333
595	490	332
596	491	331
597	492	331
598	493	330
599	493	329
600	495	328
601	496	328
602	496	327
603	497	326
604	498	325
605	498	324
606	499	323
607	500	322
608	500	321
609	501	320
610	501	319
611	502	318
612	503	318
613	504	317
614	504	316
615	505	315
616	506	314
617	506	313
618	507	312
619	507	311
620	508	310
621	509	309
622	509	308
623	510	307
624	510	306
625	511	305
626	512	304
627	512	303
628	513	302
629	514	301
630	514	301
631	515	300
632	516	299
633	517	298
634	517	297
635	518	296
636	518	295
637	519	294
638	519	293
639	520	292
640	521	291
641	521	291
642	522	290
643	523	289
644	523	288
645	524	287
646	525	286
647	526	285
648	527	285
649	527	284
650	529	283
651	529	282
652	530	282
653	531	281
654	532	280
655	533	279
656	534	278
657	535	278
658	536	277
659	537	276
660	537	275
661	538	275
662	539	274
663	540	273
664	541	272
665	542	271
666	543	271
667	543	270
668	544	269
669	545	268
670	546	267
671	547	267
672	548	266
673	548	265
674	549	264
675	550	263
676	550	262
677	551	261
678	552	261
679	553	260
680	554	259
681	555	258
682	556	258
683	558	257
684	559	257
685	560	256
686	561	255
687	561	254
688	562	253
689	563	253
690	563	252
691	564	251
692	565	250
693	566	249
694	566	248
695	567	247
696	568	247
697	568	246
698	569	245
699	569	244
700	570	243
701	571	242
702	572	241
703	572	240
704	573	239
705	573	238
706	574	238
707	574	237
708	575	236
709	575	235
710	576	234
711	576	233
712	578	232
713	578	231
714	579	230
715	580	230
716	580	229
717	581	228
718	581	227
719	581	226
720	582	225
721	583	224
722	583	223
723	584	222
724	584	221
725	585	220
726	586	220
727	586	219
728	587	218
729	587	217
730	588	216
731	588	215
732	589	214
733	589	213
734	590	212
735	591	212
736	592	211
737	593	210
738	593	209
739	594	208
740	594	207
741	595	207
742	596	206
743	596	205
744	597	204
745	598	203
746	599	202
747	600	202
748	600	201
749	601	200
750	601	199
751	602	198
752	603	197
753	604	197
754	604	196
755	605	195
756	606	194
757	606	193
758	607	192
759	608	192
760	609	191
761	609	190
762	610	189
763	611	188
764	612	188
765	612	187
766	613	186
767	613	185
768	614	184
769	615	183
770	616	183
771	617	182
772	618	181
773	618	180
774	619	179
775	619	178
776	620	178
777	621	177
778	622	176
779	623	175
780	624	174
781	624	174
782	625	173
783	625	172
784	626	171
785	627	170
786	628	170
787	629	169
788	629	168
789	630	167
790	631	166
791	631	165
792	632	165
793	633	164
794	634	163
795	635	162
796	636	162
797	636	161
798	637	160
799	638	159
800	639	158
801	639	157
802	641	157
803	641	156
804	642	155
805	643	154
806	643	153
807	644	153
808	645	152
809	646	151
810	647	151
811	648	150
812	649	149
